company,place,price,total,major,tag
新光互动-精选服务商,北京,¥1000,2090,【包你满意】微信开发 小程序开发 小程序设计 小程序商城,"3套方案供选,48H出稿,保证完成"
圣融科技有限公司,北京,¥4000,4918,微信公众号微信小程序定制开发小程序商城定制开发小程序商城H5,"48H出稿,一年免费维护,保证完成"
千界科技-国家高企双软企业,北京,¥1588,2260,saas支付宝微信公众号小程序商城H5python开发定制作,"免费修改到满意为止,一年免费维护,保证完成"
百荣科技-国家高新企业,北京,¥1899,4170,微信小程序定制开发小程序软件定制开发小程序商城H5微信开发,"免费修改到满意为止,一年免费维护,保证完成"
聚成网络-国家高新企业双软认证,北京,¥1000,1192,微信小程序|小程序开发定制|微信公众号平台开发小程序商城,"48H出稿,保证完成"
卓诚科技互联网全案服务,北京,¥500,1770,微信小程序开发微信开发小程序定制开发微信公众号开发H5开发,"免费修改到满意为止,一年免费维护,保证完成"
鲁班开发,北京,¥2000,3202,微信小程序开发微信开发公众号app开发网站APP商城定制模板,三个月免费维护
千界科技-国家高企双软企业,北京,¥1588,2260,saas支付宝微信公众号小程序商城H5python开发定制作,"免费修改到满意为止,一年免费维护,保证完成"
页溪软件-国家双软认证企业,北京,¥2980,50,微信开发／小程序开发／小程序定制／公众号平台开发／公众号平台,
上海闻峥-国家高新企业-八戒优质服务商5强,北京,¥3899,0,微信小程序开发微商城公众平台开发电商教育小程序定制直播小程序,"48H出稿,保证完成"
喜望软件-智慧出行软件供应商,北京,¥1688,525,【微信开发】打车/直播/商城/小程序成品定制开发,"3套方案供选,12H出稿,保证完成"
启世科技-高端定制开发先锋品牌,北京,¥1488,205,微信小程序定制开发小程序应用APP定制开发商城微信H5定制开,"3套方案供选,48H出稿,保证完成"
页溪软件-国家双软认证企业,北京,¥2980,0,微信小程序定制公众号平台成品微商城H5开发,"24H出稿,免费修改到满意为止,一年免费维护"
小跑科技-100人技术团队,北京,¥3000,1227,【微信小程序开发】微商城分销预约新零售app公众号H5定制,"一年免费维护,保证完成"
网帆科技【12年互联网品牌】,北京,¥1250,5562,微信小程序分销商城招聘点餐饮跑腿预约系统公众号H5定制作开发,"免费修改到满意为止,一年免费维护,保证完成"
盈科云商网络科技,北京,¥499.5,105,零元购同城商圈订单支付API接口对接app小程序定制开发,"3套方案供选,48H出稿,免费修改到满意为止"
杭州软阁科技有限公司,北京,¥1000,10,微信小程序|公众号|H5电商商城分销外卖订餐教育定制开发建设,"3套方案供选,48H出稿,保证完成"
百荣科技-国家高新企业,北京,¥1899,4170,微信小程序定制开发小程序软件定制开发小程序商城H5微信开发,"免费修改到满意为止,一年免费维护,保证完成"
杰里科技-名企服务商,北京,¥4200,313,微信小程序开发saas定制设计php公众号H5盲盒交友算法c,"3套方案供选,48H出稿,保证完成"
名锐讯动-500强合作商,北京,¥5000,32,【教育微信开发】小程序开发外包软件开发微信小程序,保证完成
皮皮虾科技★十年经验,北京,¥1999,324,微信小程序软件教育电商APP大数据服务二次定制开发UI设计,"3套方案供选,48H出稿"
